,Row,A (mean_all),B (mean_all),C (mean_all),D (mean_all)
70,C (ctrl_sub020_meditation),23.9512133015693,78.107829764506,87.5534491235904,19.4909728106915
71,D (ctrl_sub020_meditation),7.10952608835502,21.7406462255231,0.0052557751961442,69.5333370719354
72,A (ctrl_sub021_meditation),85.5867716277583,5.23385530649213,20.4700656944297,66.3774148093524
73,B (ctrl_sub021_meditation),31.2964395920166,89.0736101795424,72.4393013897437,47.5985696608858
74,C (ctrl_sub021_meditation),73.5806651176904,7.3693428053891,67.3013932958851,12.0912618012393
75,D (ctrl_sub021_meditation),60.7438625756593,51.9924005217065,40.1825063587647,93.0063900088207
76,A (ctrl_sub022_meditation),88.1120101658597,2.44401881422817,28.8860495041021,42.5459933955073
77,B (ctrl_sub022_meditation),41.5071379643937,84.3083308597569,63.4797419829526,68.3218001962782
78,C (ctrl_sub022_meditation),76.6959173170631,43.2973541823426,88.1669877670876,42.3352183853173
79,D (ctrl_sub022_meditation),51.1848412865494,30.166180908399,15.4471473495003,97.0252591593273
80,A (ctrl_sub023_meditation),97.1090359242202,8.79428918040026,36.5487220785367,60.9022460652579
81,B (ctrl_sub023_meditation),10.6395403736533,58.6360819495214,5.20207069588404,3.18340914640723
82,C (ctrl_sub023_meditation),47.05461151886,63.3266119161872,98.2565347570366,26.3682829866795
83,D (ctrl_sub023_meditation),37.7190371076647,72.1222176591009,36.6632967853817,88.5485488594978
84,A (ctrl_sub025_meditation),83.7947363724966,0.0045070658977759,18.1148787775561,33.299603481745
85,B (ctrl_sub025_meditation),46.5353873040855,83.4369572214716,74.0883666432834,62.5714205405549
86,C (ctrl_sub025_meditation),46.39015349981,32.459019902017,93.2485859498383,8.48708064641534
87,D (ctrl_sub025_meditation),5.52809683079746,56.166571936407,5.66632472695494,66.5538945105729
88,A (ctrl_sub026_meditation),50.0324199058624,0.274189385586616,0.759021839972166,63.1828713859875
89,B (ctrl_sub026_meditation),61.0876100802545,71.9121963932039,84.2747488536796,59.2989203211607
90,C (ctrl_sub026_meditation),27.9044600408255,28.6875181164079,85.4842650465069,1.46035378055235
